domain,severity,reject_media,reject_reports,public_comment,obfuscate
terapialatvitalbalikpapan.wordpress.com,suspend,False,False,,False
terberlo.dog,suspend,False,False,,False
terence.page,suspend,False,False,,False
terere.social,suspend,False,False,,False
terminal-gravity.com,suspend,False,False,,False
terminal.ink,suspend,False,False,,False
termine.it-freelancer.hamburg,suspend,False,False,,False
termine.refa.digital,suspend,False,False,,False
termine.social,suspend,False,False,,False
termine.wwworkgroup.de,suspend,False,False,,False
terokankaanpera.fi,suspend,False,False,,False
terra.incognita.net,suspend,False,False,,False
terra.social,suspend,False,False,,False
terraforminglatam.net,suspend,False,False,,False
terrible.city,suspend,False,False,,False
terrible.computer,suspend,False,False,,False
terrible.gay,suspend,False,False,,False
terribly.social,suspend,False,False,,False
terror.black,suspend,False,False,,False
terz.at,suspend,False,False,,False
tesdon.otasky.ja-jp.org,suspend,False,False,,False
test-relay.moew.science,suspend,False,False,,False
test.balotta.org,suspend,False,False,,False
test.betterways.dev,suspend,False,False,,False
test.diasp.org,suspend,False,False,,False
test.esi.is,suspend,False,False,,False
test.haussleiter.de,suspend,False,False,,False
test.hexbear.net,suspend,False,False,,False
test.hooves.social,suspend,False,False,,False
test.itemis.social,suspend,False,False,,False
test.jnktn.tv,suspend,False,False,,False
test.mascodon.jp,suspend,False,False,,False
test.monoceros.co.za,suspend,False,False,,False
test.mstddntfdn.online,suspend,False,False,,False
test.oliphant.social,suspend,False,False,,False
test.poddery.com,suspend,False,False,,False
test.queer.group,suspend,False,False,,False
test.sciences.social,suspend,False,False,,False
test.seindal.dk,suspend,False,False,,False
test.stoat.pro,suspend,False,False,,False
test.woof.tech,suspend,False,False,,False
test01-xsmisskey.aere-sanctuary.net,suspend,False,False,,False
test2.gup.pe,suspend,False,False,,False
test2.mosstodon.social,suspend,False,False,,False
tester.social,suspend,False,False,,False
testfed.dhoare.me,suspend,False,False,,False
testing.pixeldroid.org,suspend,False,False,,False
testitquickly.com,suspend,False,False,,False
testube.distrilab.fr,suspend,False,False,,False
testusa340.wordpress.com,suspend,False,False,,False
tetrahedron.trisec.se,suspend,False,False,,False
tetrax.de,suspend,False,False,,False
teufl.co.at,suspend,False,False,,False
teuvovaisanen.fi,suspend,False,False,,False
tew.social,suspend,False,False,,False
tewt.me,suspend,False,False,,False
texano.cymru,suspend,False,False,,False
texasobserver.social,suspend,False,False,,False
text.andreasschoedl.de,suspend,False,False,,False
text.tchncs.de,suspend,False,False,,False
textes.pistache.land,suspend,False,False,,False
texting.com,suspend,False,False,,False
texttheater.net,suspend,False,False,,False
tezartube.space,suspend,False,False,,False
tffp.masto.host,suspend,False,False,,False
tfk.one,suspend,False,False,,False
tfq.social,suspend,False,False,,False
tftt.net,suspend,False,False,,False
tgi.hosted.spacebear.ee,suspend,False,False,,False
th-pape.de,suspend,False,False,,False
tha.closed.social,suspend,False,False,,False
thames.blisses.org,suspend,False,False,,False
thatguytonz.wordpress.com,suspend,False,False,,False
thatsmecherie.com,suspend,False,False,,False
thatssofetch.pink,suspend,False,False,,False
thatstruethatis.com,suspend,False,False,,False
thaumatur.ge,suspend,False,False,,False
the-box.work,suspend,False,False,,False
the-crossroads-inn.com,suspend,False,False,,False
the-end-time.org,suspend,False,False,,False
the-gathering.space,suspend,False,False,,False
the-pit.uk,suspend,False,False,,False
the-prosperity-path.com,suspend,False,False,,False
the-return-trip.com,suspend,False,False,,False
the.caffeination.space,suspend,False,False,,False
the.coolest.zone,suspend,False,False,,False
the.europlus.zone,suspend,False,False,,False
the.gayest.dev,suspend,False,False,,False
the.goofs.space,suspend,False,False,,False
the.howl.moe,suspend,False,False,,False
the.infinity.garden,suspend,False,False,,False
the.others.social,suspend,False,False,,False
the.tonytiger.club,suspend,False,False,,False
the.unforgiven.pl,suspend,False,False,,False
the.unknowing.dance,suspend,False,False,,False
the.voiceover.bar,suspend,False,False,,False
the.webm.ink,suspend,False,False,,False
the.zymocosm.com,suspend,False,False,,False
the365author.blog,suspend,False,False,,False
the9thcircle.club,suspend,False,False,,False
theaddict.ink,suspend,False,False,,False
theaderks.wordpress.com,suspend,False,False,,False
theamycarney.com,suspend,False,False,,False
theanticrisis.au,suspend,False,False,,False
theapex.social,suspend,False,False,,False
theater.ethernia.net,suspend,False,False,,False
theater.im,suspend,False,False,,False
theaterneuulm.wordpress.com,suspend,False,False,,False
theatl.social,suspend,False,False,,False
theatrez.day,suspend,False,False,,False
thebag.social,suspend,False,False,,False
thebelgiantechinsider.com,suspend,False,False,,False
thebigeasy.space,suspend,False,False,,False
thebingeful.com,suspend,False,False,,False
theblower.au,suspend,False,False,,False
thebluedresslady.com,suspend,False,False,,False
thebrainbin.org,suspend,False,False,,False
thebristol.social,suspend,False,False,,False
thebronzechapter.org,suspend,False,False,,False
thecandidmomma.wordpress.com,suspend,False,False,,False
thecareyadventures.com,suspend,False,False,,False
thecenterforcontemplativepractice.org,suspend,False,False,,False
thecentralfinitecurve.com,suspend,False,False,,False
thechairman.info,suspend,False,False,,False
thecigarguys.com,suspend,False,False,,False
theclacks.cloud,suspend,False,False,,False
thecle.land,suspend,False,False,,False
theclickmagnet2.wordpress.com,suspend,False,False,,False
thecommandline.social,suspend,False,False,,False
thecooltable.wtf,suspend,False,False,,False
thecovertgeek.xyz,suspend,False,False,,False
thecroft.masto.host,suspend,False,False,,False
theculture.social,suspend,False,False,,False
thecurrentla.com,suspend,False,False,,False
thedapperdiary.blog,suspend,False,False,,False
thedarkestrecesses.wordpress.com,suspend,False,False,,False
thedeletebin.com,suspend,False,False,,False
thedigitalfreedomblog.wordpress.com,suspend,False,False,,False
thedojosenpai.wordpress.com,suspend,False,False,,False
thedoorpost73.wordpress.com,suspend,False,False,,False
thedreaming.city,suspend,False,False,,False
theedukkespallace.wordpress.com,suspend,False,False,,False
theefoodiediaries.wordpress.com,suspend,False,False,,False
theendpaper.social,suspend,False,False,,False
theepistle.net,suspend,False,False,,False
theexpan.se,suspend,False,False,,False
thefaith.social,suspend,False,False,,False
thefamilyhangout.masto.host,suspend,False,False,,False
theflorists9.wordpress.com,suspend,False,False,,False
thefloweringash.com,suspend,False,False,,False
theflyinggrouper.wordpress.com,suspend,False,False,,False
thefolklore.cafe,suspend,False,False,,False
thefooty.club,suspend,False,False,,False
thefoxandalien.club,suspend,False,False,,False
thegardencouple.com,suspend,False,False,,False
thegazete24.news.blog,suspend,False,False,,False
thegem.city,suspend,False,False,,False
thegenericjourney.wordpress.com,suspend,False,False,,False
thegnarlyblog.com,suspend,False,False,,False
thegoatery.dyndns.org,suspend,False,False,,False
thegoblin.market,suspend,False,False,,False
thegoombagazette.com,suspend,False,False,,False
theguys.guide,suspend,False,False,,False
theha.us,suspend,False,False,,False
thehacker.jp,suspend,False,False,,False
thehappyfamily.stream,suspend,False,False,,False
thehb.me,suspend,False,False,,False
thehollywoodcarshow.com,suspend,False,False,,False
thehugeanifan.wordpress.com,suspend,False,False,,False
thehungryglomad.com,suspend,False,False,,False
theidlestate.com,suspend,False,False,,False
theindeliblelifeofme.wordpress.com,suspend,False,False,,False
theinsightfulnerd.com,suspend,False,False,,False
theinternet.social,suspend,False,False,,False
thejesus.fish,suspend,False,False,,False
thejetwashfella.wordpress.com,suspend,False,False,,False
thejogdogblog.com,suspend,False,False,,False
thejuniverse.no,suspend,False,False,,False
thekjd.net,suspend,False,False,,False
thelake.town,suspend,False,False,,False
thelemmy.club,suspend,False,False,,False
thelife.boats,suspend,False,False,,False
